idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
51,1,20260101002607,269,269,1,1,1
52,1,20260101002607,299,299,1,1,1
53,1,20260101002607,149,149,1,1,1
54,1,20260101002607,164,164,1,1,1
55,1,20260101002607,0,0,-1,-1,-1
56,1,20260101002607,0,0,-1,-1,-1
57,1,20260101002607,0,0,-1,-1,-1
58,1,20260101002607,0,0,-1,-1,-1
59,1,20260101002607,164,164,1,1,1
60,1,20260101002607,415,414,1,1,1
61,1,20260101002607,0,0,-1,-1,-1
62,0,20260101002607,0,0,-1,-1,-1
63,0,20260101002607,0,0,-1,-1,-1
64,0,20260101002607,0,0,-1,-1,-1
65,1,20260101002607,135,133,1,1,1
66,1,20260101002607,103,104,1,1,1
67,1,20260101002607,230,230,1,1,1
68,1,20260101002607,116,114,1,1,1
69,1,20260101002607,118,123,1,1,1
70,1,20260101002607,124,127,2,1,0
71,0,20260101002607,98,97,1,1,1
72,0,20260101002607,173,175,1,1,1
73,0,20260101002607,115,116,1,1,1
74,0,20260101002607,92,94,1,1,1
75,0,20260101002607,233,235,1,1,1
76,0,20260101002607,80,85,1,1,1
77,1,20260101002607,435,431,1,1,1
78,1,20260101002607,0,0,-1,-1,-1
1,1,20260101004107,302,302,1,1,1
2,1,20260101004107,0,0,-1,-1,-1
3,1,20260101004107,304,303,1,1,1
4,1,20260101004107,326,325,1,1,1
5,1,20260101004107,0,0,-1,-1,-1
6,1,20260101004107,0,0,-1,-1,-1
7,1,20260101004107,185,185,1,1,1
8,0,20260101004107,0,0,-1,-1,-1
9,0,20260101004107,0,0,-1,-1,-1
10,1,20260101004107,171,171,1,1,1
11,1,20260101004107,0,0,-1,-1,-1
12,1,20260101004107,99,99,1,1,1
13,1,20260101004107,231,231,1,1,1
14,0,20260101004107,0,0,-1,-1,-1
15,1,20260101004107,220,220,1,1,1
16,1,20260101004107,237,237,1,1,1
17,1,20260101004107,192,192,1,1,1
18,1,20260101004107,0,0,-1,-1,-1
19,0,20260101004107,0,0,-1,-1,-1
20,0,20260101004107,0,0,-1,-1,-1
21,1,20260101004107,0,0,-1,-1,-1
22,1,20260101004107,270,270,1,1,1
23,1,20260101004107,189,189,1,1,1
24,1,20260101004107,240,240,1,1,1
25,1,20260101004107,0,0,-1,-1,-1
26,1,20260101004107,260,260,1,1,1
27,1,20260101004107,185,185,1,1,1
28,1,20260101004107,0,0,-1,-1,-1
29,1,20260101004107,0,0,-1,-1,-1
30,1,20260101004107,0,0,-1,-1,-1
31,1,20260101004107,219,219,1,1,1
32,1,20260101004107,179,179,1,1,1
33,1,20260101004107,0,0,-1,-1,-1
34,1,20260101004107,220,220,1,1,1
35,1,20260101004107,153,152,1,1,1
36,1,20260101004107,0,0,-1,-1,-1
37,1,20260101004107,206,205,1,1,1
38,1,20260101004107,204,204,1,1,1
39,1,20260101004107,0,0,-1,-1,-1
40,1,20260101004107,289,289,1,1,1
41,0,20260101004107,0,0,-1,-1,-1
42,1,20260101004107,214,213,1,1,1
43,0,20260101004107,0,0,-1,-1,-1
44,0,20260101004107,0,0,-1,-1,-1
45,0,20260101004107,0,0,-1,-1,-1
46,0,20260101004107,0,0,-1,-1,-1
47,1,20260101004107,181,180,1,1,1
48,0,20260101004107,0,0,-1,-1,-1
49,1,20260101004107,304,304,1,1,1
50,1,20260101004107,0,0,-1,-1,-1
51,1,20260101004107,269,269,1,1,1
52,1,20260101004107,299,299,1,1,1
53,1,20260101004107,149,150,1,1,1
54,1,20260101004107,164,164,1,1,1
55,1,20260101004107,0,0,-1,-1,-1
56,1,20260101004107,0,0,-1,-1,-1
57,1,20260101004107,0,0,-1,-1,-1
58,1,20260101004107,0,0,-1,-1,-1
59,1,20260101004107,164,164,1,1,1
60,1,20260101004107,414,414,1,1,1
61,1,20260101004107,286,284,1,1,1
